domain,name
crclr.org,Crclr
www.nextbike.de,Nextbike
www.tu-berlin.de,Zentrum Technik und Gesellschaft / TU Berlin
www.meetup.com,Berlin Future Mobility Meetup
www.greenpack.de,Greenpack
www.mint-engineering.de,MINT Engineering
Crate.io,Crate.io
www.ubitricity.com,ubitricity
maker-faire.de,Maker Faire Berlin
www.kopernikusauto.com,Kopernikus Automotive
sensical.de,Sensical
www.landkreistag.de,German County Association
www.bertelsmann-stiftung.de,Bertelsmann Stiftung
bmw-foundation.org,BMW Foundation
www.milkthesun.com,Milk The Sun
emmy-sharing.de,Emmy
zukunftsorte.berlin,Zukunftsorte Berlin
frequenz.com,Frequenz.io
liqd.net,Liquid Democracy EV
demos-deutschland.de,Demos
www.mowea.world,Mowea
enviosystems.com,Envio Systems
www.greenmeberlin.com,Green Me Berlin
www.tier.app,Tier Mobility
perto.de,Perto
opensourceecology.de,Opensource Ecology e.v
www.netpipe.io,Netpipe GmbH
www.hotsplots.de,Hotsplots
www.dbu.de,German Environmental Foundation
cabinspacey.com,Cabin Spacey
onpurpose.org,On Purpose
www.stiftung2grad.de,Stiftung 2˚
sirplus.de,Sirplus
ccre.org,Council of European Municipalities and Regions / German Association
www.regenwasseragentur.berlin,Berliner Regenwasseragentur
meenergy.earth,ME Energy
www.scrooser.com,Scrooser
www.iku-innovationspreis.de,IKU - German Innovation Prize for Climate and Environment
www.cosuno.de,Cosuno
www.idz.de,International Design Centre Berlin
leaftech.de,Leaftech
www.nestpick.com,Nestpick
bp-consultants.de,Berndt+Partner Consultants GmbH
qrcobble.com,QR Cobble
www.bacb.de,Business Angels Club Berlin Branderburg
www.imaginecargo.com,Imagine Cargo
www.relok.de,Relok
nebenan.de,Nebenan
circ.com,Circ
mieterengel.de,Mieter Engel
www.chargomat.de,Chargomat
www.lawio.de,Lawio
www.lesan.ai,Lesan.ai
www.selux.com,Selux
